response,token,correct,contrast,vib_style,placement,pID
fret,fred,0,vs,amp,neck,10
bee,bee,1,vs,ctrl,neck,10
cop,cop,1,vs,ctrl,neck,10
life,life,1,vf,ctrl,neck,10
loose,lose,0,vf,ctrl,neck,10
shelf,shelf,1,vf,lowfi,neck,10
phase,phase,1,vf,ctrl,neck,10
bin,bin,1,Vhl,ctrl,neck,10
zinc,zinc,1,vf,lowfi,neck,10
fart,fart,1,Vhl,ctrl,neck,10
atom,atom,1,vs,amp,neck,10
rival,rival,1,vf,lowfi,neck,10
damn,deem,0,Vhl,lowfi,neck,10
nook,nark,0,Vhl,ctrl,neck,10
cot,cod,0,vs,ctrl,neck,10
cheek,cheek,1,Vhl,amp,neck,10
chain,chain,1,vf,amp,neck,10
as,as,1,Vhl,amp,neck,10
refuse,reviews,0,vf,amp,neck,10
pile,bile,0,vs,ctrl,neck,10
raze,raze,1,vf,amp,neck,10
dream,drum,0,Vhl,lowfi,neck,10
fuzz,fuzz,1,vf,lowfi,hands,10
proof,proof,1,vf,ctrl,hands,10
bleed,bleed,1,Vhl,amp,hands,10
lope,lope,1,vs,amp,hands,10
bed,bed,1,vs,amp,hands,10
bat,bat,1,vs,amp,hands,10
lop,lop,1,Vhl,lowfi,hands,10
pat,pat,1,vs,lowfi,hands,10
peace,peace,1,Vhl,ctrl,hands,10
vendor,vendor,1,vf,amp,hands,10
thigh,thy,0,vf,lowfi,hands,10
bought,bawd,0,vs,lowfi,hands,10
man,man,1,Vhl,ctrl,hands,10
patter,patter,1,Vhl,amp,hands,10
tame,tame,1,vs,ctrl,hands,10
waggle,waggle,1,Vhl,amp,hands,10
at,at,1,vs,lowfi,hands,10
heel,hull,0,Vhl,amp,hands,10
fairy,fairy,1,vf,lowfi,hands,10
price,price,1,vf,amp,hands,10
pain,bane,0,vs,ctrl,hands,10
fetid,fetid,1,vf,amp,hands,10
ton,ton,1,vs,lowfi,hands,10
safe,safe,1,vf,amp,hands,10
ass,ass,1,vf,lowfi,hands,10
belief,believe,0,vf,amp,hands,10
toot,toot,1,Vhl,lowfi,hands,10
stop,stop,1,Vhl,ctrl,hands,10
nap,nap,1,vs,ctrl,hands,10
fit,fit,1,Vhl,amp,hands,10
teethe,teethe,1,vf,ctrl,hands,10
pin,pin,1,vs,amp,hands,10
deafen,deafen,1,vf,lowfi,hands,10
lock,lock,1,vs,ctrl,hands,10
pi,by,0,vs,ctrl,hands,10
was,was,1,Vhl,ctrl,hands,10
divine,divine,1,vf,amp,hands,10
leaky,leaky,1,Vhl,lowfi,hands,10
tab,dab,0,vs,lowfi,hands,10
vent,vent,1,vs,amp,hands,10
tack,tack,1,Vhl,ctrl,hands,10
dim,dim,1,Vhl,ctrl,hands,10
chap,chap,1,Vhl,ctrl,hands,10
Kremlin,Kremlin,1,vs,ctrl,hands,10
bark,bark,1,Vhl,ctrl,hands,10
beseech,besiege,0,vf,lowfi,hands,10
begin,begin,1,Vhl,ctrl,hands,10
six,six,1,Vhl,lowfi,hands,10
peach,peach,1,Vhl,lowfi,hands,10
laze,laze,1,vf,amp,hands,10
trim,tram,0,Vhl,amp,hands,10
teach,teach,1,Vhl,ctrl,hands,10
swim,swim,1,Vhl,lowfi,hands,10
smog,smog,1,vs,lowfi,hands,10
sap,sap,1,vf,amp,hands,10
fence,fence,1,vf,lowfi,hands,10
leek,leek,1,vs,lowfi,hands,10
fail,fail,1,vf,amp,hands,10
eyes,eyes,1,vf,amp,hands,10
lip,lip,1,vs,lowfi,hands,10
bad,bad,1,Vhl,lowfi,hands,10
bum,bum,1,Vhl,amp,hands,10
shark,shark,1,Vhl,ctrl,hands,10
bare,pair,0,vs,lowfi,hands,10
prod,prod,1,Vhl,ctrl,hands,10
hers,hers,1,vf,amp,hands,10
batch,batch,1,vf,amp,hands,10
pant,bant,0,vs,amp,hands,10
pal,pal,1,Vhl,ctrl,hands,10
cluck,clique,0,Vhl,lowfi,hands,10
sack,sack,1,Vhl,lowfi,hands,10
fox,fox,1,vf,amp,hands,10
class,class,1,vs,ctrl,hands,10
trace,trace,1,vf,lowfi,hands,10
ban,ban,1,vs,lowfi,hands,10
moose,moos,0,vf,ctrl,hands,10
tug,tuck,0,vs,ctrl,hands,10
Kay,Kay,1,vs,ctrl,hands,10
cave,cave,1,vs,lowfi,hands,10
fast,fast,1,vf,amp,hands,10
proof,proof,1,Vhl,lowfi,hands,10
town,town,1,vs,ctrl,hands,10
grave,grave,1,vf,amp,hands,10
gill,gill,1,vs,amp,hands,10
sue,sue,1,vf,lowfi,hands,10
wafer,waiver,0,vf,amp,hands,10
focal,vocal,0,vf,ctrl,hands,10
peed,peed,1,vs,lowfi,hands,10
wife,wive,0,vf,ctrl,hands,10
poop,poop,1,vs,amp,hands,10
cave,cave,1,vs,lowfi,hands,17
poop,poop,1,vs,amp,hands,17
wive,wife,0,vf,lowfi,hands,17
time,dime,0,vs,amp,hands,17
bar,par,0,vs,amp,hands,17
buff,buff,1,Vhl,lowfi,hands,17
pat,bat,0,vs,lowfi,hands,17
lug,league,0,Vhl,ctrl,hands,17
fart,foot,0,Vhl,amp,hands,17
drum,drum,1,Vhl,lowfi,hands,17
teach,teach,1,Vhl,lowfi,hands,17
teens,teens,1,Vhl,ctrl,hands,17
swim,swam,0,Vhl,ctrl,hands,17
cot,cot,1,vs,lowfi,hands,17
bant,bant,1,vs,lowfi,hands,17
proove,proove,1,vf,lowfi,hands,17
sack,zach,0,vf,amp,hands,17
bias,buyers,0,vf,lowfi,hands,17
deem,deem,1,Vhl,amp,hands,17
vast,vast,1,vf,lowfi,hands,17
Kremlin,gremlin,0,vs,lowfi,hands,17
gay,gay,1,vs,lowfi,hands,17
gait,kate,0,vs,lowfi,hands,17
booed,boot,0,vs,lowfi,hands,17
divine,define,0,vf,ctrl,hands,17
pan,pan,1,vs,lowfi,hands,17
race,race,1,vf,amp,hands,17
glass,class,0,vs,amp,hands,17
jeer,jeer,1,vf,lowfi,hands,17
back,pack,0,vs,ctrl,hands,17
meat,mat,0,Vhl,ctrl,hands,17
pal,pal,1,Vhl,lowfi,hands,17
as,as,1,Vhl,amp,hands,17
cheek,cheek,1,Vhl,amp,hands,17
vend,vent,0,vs,ctrl,hands,17
bun,bin,0,Vhl,amp,hands,17
blood,blood,1,Vhl,amp,hands,17
pin,pin,1,vs,lowfi,hands,17
bleat,bleat,1,vs,lowfi,hands,17
rick,rick,1,vs,ctrl,hands,17
pence,pens,0,vf,amp,hands,17
log,log,1,vs,ctrl,hands,17
gill,gill,1,vs,amp,hands,17
stoop,stoop,1,Vhl,lowfi,hands,17
cad,cad,1,vs,amp,hands,17
file,vile,0,vf,ctrl,hands,17
knees,knees,1,vf,ctrl,hands,17
Adam,Adam,1,vs,ctrl,hands,17
neat,neat,1,Vhl,amp,hands,17
add,at,0,vs,ctrl,hands,17
bed,bet,0,vs,lowfi,hands,17
safe,safe,1,vf,lowfi,hands,17
drill,drill,1,vs,lowfi,hands,17
bay,pay,0,vs,amp,hands,17
zap,sap,0,vf,lowfi,hands,17
cob,cob,1,vs,ctrl,hands,17
zinc,zinc,1,vf,lowfi,hands,17
laze,laze,1,vf,ctrl,hands,17
moose,moose,1,vf,ctrl,hands,17
shard,shard,1,Vhl,ctrl,hands,17
fleece,fleece,1,vf,lowfi,hands,17
fan,van,0,vf,ctrl,hands,17
beam,beam,1,Vhl,amp,hands,17
prize,prize,1,vf,lowfi,hands,17
peach,peach,1,Vhl,ctrl,hands,17
tick,tick,1,Vhl,ctrl,hands,17
deed,dad,0,Vhl,amp,hands,17
seek,sack,0,Vhl,ctrl,hands,17
toot,toot,1,Vhl,lowfi,hands,17
as,as,1,vf,ctrl,hands,17
thy,thy,1,vf,amp,hands,17
belief,believe,0,vf,amp,hands,17
slick,slick,1,Vhl,ctrl,hands,17
streak,streak,1,Vhl,amp,hands,17
dale,dale,1,vs,amp,hands,17
begun,begun,1,Vhl,lowfi,hands,17
weak,weak,1,Vhl,ctrl,hands,17
leaky,leaky,1,Vhl,amp,hands,17
graph,graph,1,vf,amp,hands,17
jerry,cherry,0,vf,amp,hands,17
cuss,cuss,1,vf,ctrl,hands,17
blank,plank,0,vs,lowfi,hands,17
bane,bane,1,vs,amp,hands,17
knap,knap,1,Vhl,amp,hands,17
bark,bark,1,Vhl,ctrl,hands,17
batty,batty,1,vs,ctrl,hands,17
gin,gin,1,vf,ctrl,hands,17
proof,proof,1,Vhl,lowfi,hands,17
ring,ring,1,Vhl,ctrl,hands,17
fat,fit,0,Vhl,amp,hands,17
prod,prude,0,Vhl,amp,neck,17
pang,pang,1,vs,lowfi,neck,17
tomb,tomb,1,vs,lowfi,neck,17
phase,phase,1,vf,amp,neck,17
reviews,refuse,0,vf,lowfi,neck,17
fault,fault,1,vf,lowfi,neck,17
fens,fens,1,vf,ctrl,neck,17
pi,by,0,vs,ctrl,neck,17
lip,lib,0,vs,ctrl,neck,17
waiver,wafer,0,vf,lowfi,neck,17
mans,manse,0,vf,ctrl,neck,17
six,six,1,Vhl,lowfi,neck,17
vale,fail,0,vf,lowfi,neck,17
waggle,wiggle,0,Vhl,lowfi,neck,17
vendor,vendor,1,vf,ctrl,neck,17
tame,tame,1,vs,amp,neck,17
bare,bare,1,vs,ctrl,neck,17
teethe,teethe,1,vf,ctrl,neck,17
soup,soup,1,Vhl,lowfi,neck,17
league,leek,0,vs,amp,neck,17
cluck,clique,0,Vhl,lowfi,neck,17
hull,heel,0,Vhl,lowfi,neck,17
was,was,1,Vhl,amp,neck,17
tug,tuck,0,vs,ctrl,neck,17
pus,pus,1,Vhl,lowfi,neck,17
gat,gat,1,vs,ctrl,neck,17
trace,trace,1,vf,ctrl,neck,17
live,live,1,vf,lowfi,neck,17
shook,shark,0,Vhl,amp,neck,17
jest,chest,0,vf,ctrl,neck,17
fuzz,fuzz,1,vf,lowfi,neck,17
tan,tan,1,vs,amp,neck,17
nab,nap,0,vs,amp,neck,17
Devon,Devon,1,vf,ctrl,neck,17
vocal,vocal,1,vf,amp,neck,17
fizz,fizz,1,vf,amp,neck,17
khaki,khaki,1,Vhl,ctrl,neck,17
chip,chip,1,Vhl,ctrl,neck,17
ice,ice,1,vf,amp,neck,17
bile,bile,1,vs,lowfi,neck,17
paste,baste,0,vs,amp,neck,17
lobe,lobe,1,vs,lowfi,neck,17
clod,clot,0,vs,lowfi,neck,17
bard,bard,1,vs,ctrl,neck,17
fred,fred,1,vs,ctrl,neck,17
mutt,mutt,1,Vhl,ctrl,neck,17
sip,zip,0,vf,lowfi,neck,17
loss,loose,0,Vhl,ctrl,neck,17
hood,hard,0,Vhl,lowfi,neck,17
badge,badge,1,vf,ctrl,neck,17
lop,loop,0,Vhl,amp,neck,17
tense,tense,1,vf,ctrl,neck,17
vetted,vetted,1,vf,amp,neck,17
peed,bead,0,vs,ctrl,neck,17
calve,calve,1,vf,amp,neck,17
bad,bad,1,Vhl,amp,neck,17
besiege,besiege,1,vf,lowfi,neck,17
peter,peter,1,Vhl,ctrl,neck,17
hearse,hearse,1,vf,amp,neck,17
bought,bawd,0,vs,amp,neck,17
chuck,chuck,1,Vhl,lowfi,neck,17
Jane,Jane,1,vf,amp,neck,17
teat,tat,0,Vhl,lowfi,neck,17
smog,smock,0,vs,amp,neck,17
zips,zips,1,Vhl,lowfi,neck,17
beach,beach,1,vs,lowfi,neck,17
trim,trim,1,Vhl,ctrl,neck,17
buzz,buzz,1,vf,amp,neck,17
loose,lose,0,vf,lowfi,neck,17
mean,mean,1,Vhl,amp,neck,17
jack,jack,1,vf,ctrl,neck,17
nook,nark,0,Vhl,ctrl,neck,17
damn,damn,1,Vhl,amp,neck,17
vat,vat,1,vf,amp,neck,17
vox,fox,0,vf,ctrl,neck,17
wink,wink,1,Vhl,amp,neck,17
done,done,1,vs,ctrl,neck,17
vary,fairy,0,vf,ctrl,neck,17
down,town,0,vs,lowfi,neck,17
toll,toll,1,vs,ctrl,neck,17
shelf,shelf,1,vf,amp,neck,17
lam,limb,0,Vhl,amp,neck,17
dab,dab,1,vs,amp,neck,17
zoo,zoo,1,vf,amp,neck,17
miss,miss,1,Vhl,lowfi,neck,17
rifle,rifle,1,vf,lowfi,neck,17
bee,bee,1,vs,ctrl,neck,17
dry,dry,1,vs,amp,neck,17
dep,dep,1,vs,ctrl,neck,17
bad,bad,1,vs,amp,neck,17
hers,hearse,0,vf,amp,hands,27
jeer,jeer,1,vf,amp,hands,27
bias,buyers,0,vf,amp,hands,27
league,lug,0,Vhl,amp,hands,27
chuck,chuck,1,Vhl,amp,hands,27
drum,drum,1,Vhl,amp,hands,27
cat,gat,0,vs,amp,hands,27
neat,gnat,0,Vhl,ctrl,hands,27
dry,try,0,vs,lowfi,hands,27
fault,vault,0,vf,amp,hands,27
pile,bile,0,vs,amp,hands,27
pal,pal,1,Vhl,lowfi,hands,27
shook,shook,1,Vhl,ctrl,hands,27
fan,van,0,vf,ctrl,hands,27
bleed,bleed,1,vs,ctrl,hands,27
par,bar,0,vs,ctrl,hands,27
chain,chain,1,vf,lowfi,hands,27
bead,bead,1,Vhl,amp,hands,27
ban,pan,0,vs,amp,hands,27
zoo,zoo,1,vf,amp,hands,27
class,class,1,vs,lowfi,hands,27
believe,believe,1,vf,lowfi,hands,27
hull,hull,1,Vhl,ctrl,hands,27
cop,cop,1,vs,amp,hands,27
shard,shard,1,Vhl,amp,hands,27
nap,nab,0,vs,lowfi,hands,27
prize,price,0,vf,lowfi,hands,27
wink,wink,1,Vhl,amp,hands,27
six,six,1,Vhl,ctrl,hands,27
beam,bum,0,Vhl,amp,hands,27
divine,define,0,vf,lowfi,hands,27
loop,lop,0,Vhl,lowfi,hands,27
phase,phase,1,vf,lowfi,hands,27
proof,proof,1,Vhl,lowfi,hands,27
shack,shack,1,vf,ctrl,hands,27
time,dime,0,vs,amp,hands,27
ring,rang,0,Vhl,ctrl,hands,27
nook,nark,0,Vhl,ctrl,hands,27
cookie,cookie,1,Vhl,amp,hands,27
reviews,refuse,0,vf,lowfi,hands,27
clique,clique,1,Vhl,lowfi,hands,27
pat,pat,1,vs,amp,hands,27
bard,bard,1,vs,amp,hands,27
bay,bay,1,vs,amp,hands,27
besiege,besiege,1,vf,ctrl,hands,27
vale,fail,0,vf,lowfi,hands,27
kate,kate,1,vs,lowfi,hands,27
wife,wife,1,vf,ctrl,hands,27
cot,cot,1,vs,amp,hands,27
viz,fizz,0,vf,amp,hands,27
slack,slack,1,Vhl,ctrl,hands,27
buff,buff,1,Vhl,amp,hands,27
rick,rick,1,vs,lowfi,hands,27
dep,dep,1,vs,lowfi,hands,27
cherry,cherry,1,vf,ctrl,hands,27
rival,rifle,0,vf,ctrl,hands,27
batch,batch,1,vf,amp,hands,27
drill,trill,0,vs,lowfi,hands,27
fuzz,fuzz,1,vf,lowfi,hands,27
cat,cad,0,vs,amp,hands,27
knees,niece,0,vf,amp,hands,27
fetid,fetid,1,vf,amp,hands,27
life,life,1,vf,amp,hands,27
by,pi,0,vs,amp,hands,27
teeth,teethe,0,vf,lowfi,hands,27
waiver,waiver,1,vf,lowfi,hands,27
pack,back,0,vs,lowfi,hands,27
done,done,1,vs,lowfi,hands,27
peach,peach,1,Vhl,lowfi,hands,27
gay,Kay,0,vs,amp,hands,27
lose,lose,1,vf,lowfi,hands,27
peed,bead,0,vs,ctrl,hands,27
booed,booed,1,vs,ctrl,hands,27
lucky,lucky,1,Vhl,lowfi,hands,27
moose,moose,1,vf,amp,hands,27
zinc,sink,0,vf,ctrl,hands,27
proove,proof,0,vf,lowfi,hands,27
thy,thy,1,vf,ctrl,hands,27
chin,chin,1,vf,ctrl,hands,27
wiggle,wiggle,1,Vhl,amp,hands,27
chip,chap,0,Vhl,ctrl,hands,27
tense,tens,0,vf,lowfi,hands,27
dale,dale,1,vs,amp,hands,27
ease,ease,1,Vhl,ctrl,hands,27
blank,plank,0,vs,lowfi,hands,27
leek,league,0,vs,amp,hands,27
fat,fat,1,Vhl,ctrl,hands,27
baste,paste,0,vs,ctrl,hands,27
town,down,0,vs,amp,hands,27
hard,hard,1,Vhl,lowfi,hands,27
woos,was,0,Vhl,lowfi,neck,27
kill,gill,0,vs,lowfi,neck,27
bare,bare,1,vs,amp,neck,27
pin,bin,0,vs,lowfi,neck,27
doom,doom,1,vs,lowfi,neck,27
bark,book,0,Vhl,ctrl,neck,27
ice,ice,1,vf,amp,neck,27
mans,mans,1,vf,lowfi,neck,27
stoop,stoop,1,Vhl,amp,neck,27
fart,foot,0,Vhl,amp,neck,27
vendor,fender,0,vf,ctrl,neck,27
zach,zach,1,vf,ctrl,neck,27
vat,fat,0,vf,amp,neck,27
save,safe,0,vf,amp,neck,27
miss,mass,0,Vhl,ctrl,neck,27
fret,fret,1,vs,lowfi,neck,27
Kremlin,Kremlin,1,vs,lowfi,neck,27
bus,bus,1,vf,ctrl,neck,27
begun,begun,1,Vhl,ctrl,neck,27
toot,toot,1,Vhl,lowfi,neck,27
trim,trim,1,Vhl,ctrl,neck,27
prude,prod,0,Vhl,amp,neck,27
teat,tat,0,Vhl,amp,neck,27
bought,bawd,0,vs,lowfi,neck,27
calf,calf,1,vf,amp,neck,27
tab,dab,0,vs,ctrl,neck,27
shelve,shelf,0,vf,lowfi,neck,27
chest,chest,1,vf,ctrl,neck,27
chuck,cheek,0,Vhl,amp,neck,27
zaps,zaps,1,Vhl,ctrl,neck,27
vary,vary,1,vf,ctrl,neck,27
tuck,tuck,1,vs,amp,neck,27
cuss,cuss,1,vf,ctrl,neck,27
batty,batty,1,vs,ctrl,neck,27
bed,bed,1,vs,amp,neck,27
limb,limb,1,Vhl,ctrl,neck,27
tame,tame,1,vs,ctrl,neck,27
seek,seek,1,Vhl,lowfi,neck,27
swim,swim,1,Vhl,amp,neck,27
lib,lib,1,vs,lowfi,neck,27
file,file,1,vf,lowfi,neck,27
fence,fence,1,vf,lowfi,neck,27
zip,zip,1,vf,amp,neck,27
touch,teach,0,Vhl,amp,neck,27
graph,grave,0,vf,ctrl,neck,27
smog,smog,1,vs,ctrl,neck,27
fleece,fleas,0,vf,lowfi,neck,27
fox,fox,1,vf,lowfi,neck,27
add,at,0,vs,ctrl,neck,27
tan,Dan,0,vs,amp,neck,27
dad,deed,0,Vhl,amp,neck,27
weak,wack,0,Vhl,ctrl,neck,27
zap,sap,0,vf,lowfi,neck,27
Devon,deafen,0,vf,lowfi,neck,27
focal,vocal,0,vf,ctrl,neck,27
boop,poop,0,vs,ctrl,neck,27
vast,fast,0,vf,amp,neck,27
pang,bang,0,vs,amp,neck,27
pence,pence,1,vf,lowfi,neck,27
bane,pain,0,vs,lowfi,neck,27
pee,bee,0,vs,ctrl,neck,27
trays,trays,1,vf,amp,neck,27
race,race,1,vf,ctrl,neck,27
struck,streak,0,Vhl,amp,neck,27
knap,nip,0,Vhl,lowfi,neck,27
bin,bin,1,Vhl,ctrl,neck,27
mean,man,0,Vhl,ctrl,neck,27
lope,lope,1,vs,ctrl,neck,27
ass,as,0,vf,ctrl,neck,27
soup,sop,0,Vhl,ctrl,neck,27
mutt,mutt,1,Vhl,ctrl,neck,27
loose,loss,0,Vhl,lowfi,neck,27
teens,teens,1,Vhl,ctrl,neck,27
dole,dole,1,vs,lowfi,neck,27
tick,tick,1,Vhl,lowfi,neck,27
dim,dim,1,Vhl,amp,neck,27
lock,log,0,vs,ctrl,neck,27
patter,patter,1,Vhl,ctrl,neck,27
laze,lace,0,vf,ctrl,neck,27
clot,clot,1,vs,amp,neck,27
gave,cave,0,vs,lowfi,neck,27
pant,pant,1,vs,lowfi,neck,27
vent,vend,0,vs,lowfi,neck,27
mat,mat,1,Vhl,ctrl,neck,27
peace,pus,0,Vhl,lowfi,neck,27
deem,deem,1,Vhl,ctrl,neck,27
bat,bad,0,vs,amp,neck,27
Adam,Adam,1,vs,ctrl,neck,27
bleed,bleed,1,Vhl,lowfi,neck,27
peach,beach,0,vs,lowfi,neck,27
fat,fat,1,vf,lowfi,hands,23
believe,believe,1,vf,ctrl,hands,23
poop,boop,0,vs,ctrl,hands,23
slick,slick,1,Vhl,amp,hands,23
cat,cat,1,vs,lowfi,hands,23
mat,mat,1,Vhl,ctrl,hands,23
bare,bare,1,vs,amp,hands,23
fox,vox,0,vf,lowfi,hands,23
patty,batty,0,vs,lowfi,hands,23
clique,cluck,0,Vhl,lowfi,hands,23
dim,dim,1,Vhl,lowfi,hands,23
vale,fail,0,vf,ctrl,hands,23
nap,nap,1,vs,lowfi,hands,23
vary,fairy,0,vf,ctrl,hands,23
tale,dale,0,vs,lowfi,hands,23
pain,pain,1,vs,ctrl,hands,23
sue,zoo,0,vf,lowfi,hands,23
Jane,chain,0,vf,lowfi,hands,23
lop,loop,0,Vhl,ctrl,hands,23
eyes,ice,0,vf,amp,hands,23
fuss,fuss,1,vf,ctrl,hands,23
sip,sip,1,vf,lowfi,hands,23
bang,bang,1,vs,lowfi,hands,23
shark,shook,0,Vhl,ctrl,hands,23
smock,smock,1,vs,ctrl,hands,23
teach,teach,1,Vhl,amp,hands,23
trays,trays,1,vf,amp,hands,23
cuss,cuss,1,vf,ctrl,hands,23
bed,bed,1,vs,amp,hands,23
stop,stoop,0,Vhl,ctrl,hands,23
prof,proof,0,Vhl,ctrl,hands,23
peter,peter,1,Vhl,lowfi,hands,23
buzz,buzz,1,vf,lowfi,hands,23
try,try,1,vs,lowfi,hands,23
beach,beach,1,vs,ctrl,hands,23
gill,kill,0,vs,ctrl,hands,23
nark,nook,0,Vhl,ctrl,hands,23
soup,soup,1,Vhl,lowfi,hands,23
waggle,waggle,1,Vhl,amp,hands,23
pile,pile,1,vs,ctrl,hands,23
moose,moos,0,vf,lowfi,hands,23
gait,gait,1,vs,ctrl,hands,23
vetted,vetted,1,vf,amp,hands,23
leek,leek,1,vs,ctrl,hands,23
tame,tame,1,vs,lowfi,hands,23
tan,Dan,0,vs,ctrl,hands,23
bin,bin,1,vs,amp,hands,23
dream,drum,0,Vhl,ctrl,hands,23
hood,hood,1,Vhl,lowfi,hands,23
chin,chin,1,vf,lowfi,hands,23
lock,log,0,vs,amp,hands,23
tomb,tomb,1,vs,lowfi,hands,23
league,lug,0,Vhl,amp,hands,23
vault,vault,1,vf,lowfi,hands,23
knees,knees,1,vf,amp,hands,23
time,dime,0,vs,amp,hands,23
pee,bee,0,vs,lowfi,hands,23
fat,fit,0,Vhl,lowfi,hands,23
cob,cop,0,vs,lowfi,hands,23
pant,pant,1,vs,ctrl,hands,23
cheek,chuck,0,Vhl,ctrl,hands,23
par,par,1,vs,amp,hands,23
ton,done,0,vs,amp,hands,23
trim,trim,1,Vhl,amp,hands,23
zaps,zaps,1,Vhl,lowfi,hands,23
manse,manse,1,vf,ctrl,hands,23
six,six,1,Vhl,amp,hands,23
booed,boot,0,vs,lowfi,hands,23
tab,dab,0,vs,amp,hands,23
thigh,thy,0,vf,amp,hands,23
patch,patch,1,Vhl,lowfi,hands,23
ban,pan,0,vs,lowfi,hands,23
teens,teens,1,Vhl,lowfi,hands,23
peed,bead,0,vs,lowfi,hands,23
sack,sack,1,vf,amp,hands,23
fence,fens,0,vf,lowfi,hands,23
gnat,gnat,1,Vhl,ctrl,hands,23
viz,viz,1,vf,ctrl,hands,23
toot,tot,0,Vhl,ctrl,hands,23
bark,book,0,Vhl,lowfi,hands,23
tick,tack,0,Vhl,ctrl,hands,23
pi,by,0,vs,amp,hands,23
prod,prod,1,Vhl,lowfi,hands,23
file,file,1,vf,ctrl,hands,23
ease,as,0,Vhl,amp,hands,23
Devon,deafen,0,vf,lowfi,hands,23
rang,rang,1,Vhl,ctrl,hands,23
down,down,1,vs,ctrl,hands,23
fleas,fleas,1,vf,lowfi,hands,23
struck,streak,0,Vhl,amp,hands,23
wife,wife,1,vf,amp,neck,23
jeer,cheer,0,vf,ctrl,neck,23
lib,lip,0,vs,amp,neck,23
rick,rick,1,vs,amp,neck,23
lope,lope,1,vs,lowfi,neck,23
bias,buyers,0,vf,amp,neck,23
weak,weak,1,Vhl,amp,neck,23
life,life,1,vf,amp,neck,23
sap,sap,1,vf,ctrl,neck,23
fender,fender,1,vf,amp,neck,23
beam,beam,1,Vhl,ctrl,neck,23
meet,mutt,0,Vhl,ctrl,neck,23
price,prize,0,vf,ctrl,neck,23
nip,knap,0,Vhl,amp,neck,23
pill,pill,1,Vhl,ctrl,neck,23
clod,clot,0,vs,ctrl,neck,23
seek,sack,0,Vhl,amp,neck,23
bleed,bleed,1,Vhl,lowfi,neck,23
gave,cave,0,vs,ctrl,neck,23
toll,toll,1,vs,ctrl,neck,23
tuck,tuck,1,vs,amp,neck,23
atom,Adam,0,vs,amp,neck,23
teeth,teeth,1,vf,lowfi,neck,23
gremlin,gremlin,1,vs,ctrl,neck,23
plank,blank,0,vs,lowfi,neck,23
cherry,jerry,0,vf,ctrl,neck,23
